Volume (cm^3)	Surface (cm^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (cm)	SD dist. to surf. (cm)	Median dist. to surf. (cm)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
6.122	27.807	254	160	1379	5.429	7.605	3.000	1	51	239.902	117.268	25.287	1.257	0.462	1.309	239.951	117.233	26.810	237	114	19	7	7	11
3.880	23.595	161	126	318	1.975	1.933	1.000	1	13	245.273	139.255	25.913	1.234	0.589	1.218	245.267	139.195	26.987	242	137	19	7	7	11
0.603	5.378	25	23	26	1.040	0.200	1.000	1	2	146.000	158.000	20.360	0.449	0.168	0.379	146.000	158.000	20.346	145	157	19	3	3	5
4.386	23.823	182	128	385	2.115	1.881	1.000	1	12	225.049	157.451	25.423	1.192	0.478	1.186	225.078	157.377	26.314	223	154	19	6	7	11
5.109	23.803	212	136	533	2.514	1.973	2.000	1	11	451.844	246.948	24.910	1.206	0.455	1.252	451.848	246.989	25.122	449	245	19	7	5	11
5.929	27.895	246	155	748	3.041	3.793	1.000	1	26	368.016	255.297	25.435	1.218	0.444	1.205	368.029	255.183	26.799	365	252	19	7	7	11
5.712	26.484	237	151	745	3.143	3.793	2.000	1	26	10.759	398.207	25.232	1.197	0.433	1.231	10.572	398.225	26.523	8	396	19	7	6	11
5.977	28.125	248	161	785	3.165	3.253	2.000	1	21	334.052	468.452	25.343	1.235	0.480	1.210	334.015	468.439	26.433	331	465	19	7	8	11
3.205	18.956	133	104	410	3.083	4.068	1.000	1	26	247.805	71.233	26.368	1.027	0.482	0.946	247.885	71.212	27.659	245	69	20	6	6	10
0.362	3.968	15	14	16	1.067	0.258	1.000	1	2	107.267	81.000	21.000	0.368	0.095	0.396	107.250	81.000	21.000	106	80	20	3	3	3
3.953	27.916	164	141	261	1.591	1.061	1.000	1	7	104.055	82.872	26.530	1.301	0.496	1.229	104.299	82.705	27.077	100	79	20	12	8	10
1.422	11.850	59	50	96	1.627	0.981	1.000	1	5	247.390	167.932	26.610	0.881	0.515	0.767	247.406	167.948	27.198	245	166	20	5	4	10
3.350	19.521	139	109	293	2.108	2.232	1.000	1	14	309.856	171.029	26.079	1.087	0.452	1.159	309.805	171.031	27.133	307	169	20	7	5	10
1.422	12.291	59	53	69	1.169	0.422	1.000	1	3	232.288	177.983	26.102	0.888	0.523	0.802	232.246	178.029	26.290	231	176	20	4	6	10
3.977	21.266	165	124	474	2.873	3.447	1.000	1	22	178.897	187.194	25.776	1.123	0.455	1.120	178.935	187.110	27.249	177	184	20	6	7	10
0.289	3.914	12	11	12	1.000	0.000	1.000	1	1	441.083	186.167	21.583	0.413	0.169	0.325	441.083	186.167	21.583	440	185	20	3	3	4
2.362	17.492	98	78	136	1.388	0.727	1.000	1	5	465.857	223.235	24.622	1.263	0.463	1.376	465.882	223.191	24.257	464	221	20	5	5	10
3.567	22.996	148	112	391	2.642	3.066	1.000	1	17	423.331	243.912	26.345	1.132	0.490	1.113	423.448	243.777	27.565	419	241	20	8	8	10
3.832	21.690	159	117	417	2.623	2.643	2.000	1	17	356.522	264.862	26.031	1.130	0.515	1.053	356.619	264.887	27.170	354	262	20	6	7	10
3.760	21.035	156	114	288	1.846	1.266	1.000	1	8	440.731	284.045	25.244	1.143	0.467	1.189	440.753	284.056	25.705	439	282	20	5	5	10
2.193	15.994	91	80	157	1.725	1.136	1.000	1	7	460.978	290.901	25.736	1.139	0.477	1.129	461.000	290.911	25.796	459	289	20	5	5	10
0.386	4.496	16	14	16	1.000	0.000	1.000	1	1	499.000	301.000	21.125	0.421	0.135	0.422	499.000	301.000	21.125	498	300	20	3	3	4
0.603	5.378	25	23	27	1.080	0.277	1.000	1	2	493.000	342.000	21.360	0.449	0.168	0.379	493.000	342.000	21.370	492	341	20	3	3	5
4.411	20.471	183	118	764	4.175	4.292	2.000	1	18	24.459	345.044	25.852	1.043	0.347	1.011	24.440	345.017	26.493	22	343	20	6	5	10
1.398	12.819	58	54	70	1.207	0.554	1.000	1	4	43.793	363.741	26.155	1.044	0.500	1.119	43.829	363.671	26.614	42	361	20	5	5	10
9.496	43.222	394	271	1648	4.183	5.705	2.000	1	38	199.041	2.079	26.541	1.419	0.513	1.397	200.817	2.565	27.502	189	0	21	18	7	9
0.578	5.766	24	22	25	1.042	0.204	1.000	1	2	287.000	119.000	22.417	0.470	0.150	0.387	287.000	119.000	22.400	286	118	21	3	3	4
2.699	15.642	112	83	428	3.821	4.627	2.000	1	27	186.500	133.009	27.500	0.812	0.305	0.738	186.364	133.009	28.150	183	130	21	7	7	9
0.578	4.990	24	22	25	1.042	0.204	1.000	1	2	216.000	140.000	22.250	0.421	0.110	0.384	216.000	140.000	22.240	215	139	21	3	3	4
2.314	15.235	96	76	156	1.625	1.172	1.000	1	6	456.740	151.667	26.667	0.893	0.372	0.859	456.750	151.782	27.340	454	150	21	6	5	9
2.868	19.186	119	96	183	1.538	0.919	1.000	1	5	124.622	169.882	25.328	1.073	0.420	1.125	124.699	169.831	25.929	122	168	21	6	6	9
2.820	18.481	117	97	401	3.427	4.632	1.000	1	29	337.239	343.436	25.940	1.145	0.487	1.216	337.703	343.165	27.529	334	341	21	7	6	9
2.025	15.184	84	72	167	1.988	1.859	1.000	1	10	338.679	351.000	26.417	1.047	0.420	1.074	338.653	350.988	27.413	336	349	21	6	5	9
2.796	16.840	116	96	180	1.552	1.041	1.000	1	6	480.379	399.871	26.095	1.030	0.450	1.016	480.339	399.872	26.789	478	398	21	6	5	9
1.133	8.464	47	38	85	1.809	0.970	2.000	1	5	509.915	405.000	23.234	0.604	0.175	0.580	509.953	405.000	23.259	508	403	21	4	5	5
2.796	19.804	116	101	215	1.853	1.908	1.000	1	12	491.302	412.224	26.802	1.080	0.449	1.023	491.628	412.126	27.595	486	410	21	9	7	9
2.410	15.199	100	82	152	1.520	0.835	1.000	1	5	299.140	480.960	25.870	1.002	0.443	0.991	299.158	480.928	26.230	297	479	21	5	5	9
0.289	3.597	12	12	12	1.000	0.000	1.000	1	1	128.917	64.667	23.083	0.386	0.176	0.413	128.917	64.667	23.083	128	64	22	3	2	4
0.578	4.990	24	22	26	1.083	0.282	1.000	1	2	332.000	297.000	23.750	0.421	0.110	0.384	332.000	297.000	23.731	331	296	22	3	3	4
0.458	4.603	19	18	20	1.053	0.229	1.000	1	2	411.000	423.000	23.000	0.382	0.086	0.390	411.000	423.000	23.000	410	422	22	3	3	3
1.518	11.639	63	56	122	1.937	1.857	1.000	1	10	140.397	138.841	27.508	0.722	0.304	0.667	140.254	138.959	28.115	138	137	23	5	5	7
2.964	15.201	123	88	696	5.659	7.416	2.000	1	40	181.431	41.089	27.276	0.804	0.170	0.780	181.364	41.007	28.013	179	38	24	6	7	6
1.398	11.146	58	54	87	1.500	1.080	1.000	1	6	58.983	100.638	27.224	0.774	0.272	0.810	58.989	100.598	27.701	57	98	24	5	6	6
1.157	9.469	48	42	52	1.083	0.347	1.000	1	3	506.708	152.604	27.146	0.669	0.243	0.720	506.712	152.577	27.212	505	150	24	5	5	6
2.989	15.235	124	88	420	3.387	3.447	2.000	1	17	181.411	158.081	26.903	0.836	0.206	0.854	181.381	158.098	27.495	179	156	24	6	5	6
1.133	8.641	47	41	73	1.553	0.829	1.000	1	4	309.511	433.255	27.553	0.623	0.231	0.621	309.521	433.219	27.877	308	432	24	4	4	6
1.663	11.093	69	57	134	1.942	1.514	1.000	1	8	345.913	443.870	27.913	0.648	0.196	0.630	345.873	443.828	28.201	343	441	24	6	6	6
0.554	5.395	23	21	23	1.000	0.000	1.000	1	1	405.130	456.870	25.435	0.485	0.157	0.561	405.130	456.870	25.435	404	456	24	3	3	4
1.012	8.623	42	40	46	1.095	0.370	1.000	1	3	214.452	26.000	27.143	0.662	0.235	0.755	214.478	26.000	27.283	213	24	25	5	5	5
0.337	3.509	14	13	14	1.000	0.000	1.000	1	1	60.214	62.714	25.857	0.349	0.086	0.355	60.214	62.714	25.857	59	62	25	3	3	3
1.976	13.510	82	72	98	1.195	0.456	1.000	1	3	158.415	158.756	28.049	0.692	0.211	0.694	158.439	158.755	28.082	156	155	25	7	8	5
1.060	8.817	44	41	66	1.500	0.876	1.000	1	5	440.727	186.114	27.614	0.616	0.236	0.634	440.818	186.076	27.985	439	184	25	5	5	5
0.844	7.354	35	32	43	1.229	0.490	1.000	1	3	218.657	326.743	27.857	0.551	0.211	0.522	218.674	326.744	28.023	217	325	25	5	4	5
1.639	10.846	68	59	116	1.706	1.147	1.000	1	6	213.485	342.500	27.603	0.666	0.198	0.671	213.552	342.595	27.957	212	340	25	5	6	5
1.687	10.722	70	55	110	1.571	0.910	1.000	1	5	208.886	410.471	27.671	0.646	0.144	0.643	208.845	410.500	27.836	207	408	25	5	6	5
0.771	6.260	32	30	40	1.250	0.622	1.000	1	4	462.000	18.000	28.062	0.465	0.130	0.483	462.000	18.000	28.225	460	16	26	5	5	4
0.675	4.990	28	27	39	1.393	0.567	1.000	1	3	206.036	19.964	27.929	0.442	0.124	0.444	206.026	19.974	28.103	205	19	26	3	3	4
2.000	11.163	83	64	270	3.253	3.378	2.000	1	17	189.482	47.880	27.783	0.671	0.113	0.669	189.474	47.937	28.185	187	46	26	6	5	4
2.266	12.363	94	72	420	4.468	5.165	2.000	1	27	56.234	109.191	27.798	0.703	0.125	0.703	56.286	109.052	28.221	54	107	26	6	7	4
0.241	2.945	10	10	10	1.000	0.000	1.000	1	1	71.600	107.100	27.300	0.312	0.105	0.303	71.600	107.100	27.300	71	106	26	2	3	3
1.157	8.800	48	42	96	2.000	1.584	1.000	1	8	146.000	158.000	28.042	0.563	0.138	0.525	146.000	158.000	28.333	144	156	26	5	5	4
