Volume (cm^3)	Surface (cm^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (cm)	SD dist. to surf. (cm)	Median dist. to surf. (cm)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
0.530	5.007	22	22	5912	268.727	54.354	253.000	202	375	160.545	36.091	17.136	0.468	0.208	0.450	160.545	36.119	17.128	160	35	15	2	3	5
2.531	14.775	105	75	41901	399.057	178.362	356.000	200	955	205.000	93.486	18.619	0.899	0.345	0.813	205.031	93.417	18.629	203	92	15	5	4	9
1.277	9.310	53	44	16402	309.472	88.345	276.000	203	554	223.321	192.962	17.962	0.656	0.266	0.567	223.328	192.947	17.977	222	192	15	4	3	7
1.326	9.433	55	47	19473	354.055	137.055	326.000	201	691	164.564	473.091	17.709	0.671	0.273	0.618	164.551	473.104	17.677	163	472	15	4	3	7
0.627	5.589	26	26	7202	277.000	56.272	254.000	205	392	152.962	74.538	18.654	0.517	0.233	0.540	152.931	74.522	18.660	152	74	16	3	2	6
0.458	4.355	19	18	4833	254.368	46.341	239.000	204	343	222.421	127.105	17.316	0.415	0.142	0.376	222.420	127.098	17.348	221	126	16	3	3	4
0.795	6.806	33	29	8919	270.273	56.971	256.000	201	425	238.061	202.758	18.667	0.555	0.224	0.573	238.050	202.750	18.697	237	202	16	3	3	6
1.036	8.534	43	38	11149	259.279	44.049	249.000	200	364	183.884	209.698	18.837	0.616	0.220	0.568	183.939	209.753	18.872	182	208	16	4	4	6
2.603	15.604	108	75	36927	341.917	134.810	291.000	200	799	240.157	276.491	20.130	0.885	0.334	0.847	240.145	276.586	20.244	238	275	16	6	4	9
1.518	11.760	63	51	16594	263.397	55.896	254.000	200	399	234.317	303.206	19.952	0.797	0.342	0.822	234.305	303.247	19.957	233	302	16	4	4	9
1.591	11.372	66	51	23796	360.545	133.308	330.500	201	748	218.909	384.212	19.636	0.765	0.309	0.705	218.917	384.218	19.620	217	383	16	5	4	8
1.735	11.496	72	58	26027	361.486	143.019	312.500	200	773	170.125	460.347	19.806	0.766	0.312	0.748	170.109	460.332	19.880	169	459	16	4	4	8
1.398	10.279	58	50	17386	299.759	80.301	286.000	201	516	130.776	488.810	19.017	0.706	0.298	0.628	130.789	488.841	19.028	129	487	16	4	4	7
0.819	7.000	34	33	11812	347.412	103.586	339.500	200	607	89.059	510.500	18.676	0.602	0.263	0.580	89.083	510.565	18.706	88	509	16	4	3	6
0.241	3.279	10	10	2828	282.800	56.318	291.500	202	365	69.300	511.000	17.800	0.457	0.244	0.416	69.330	511.000	17.790	68	511	16	3	1	5
0.554	5.659	23	23	7390	321.304	99.076	303.000	204	559	144.130	0.304	19.217	0.536	0.258	0.506	144.115	0.232	19.199	143	0	17	3	2	6
4.748	24.509	197	129	72438	367.706	177.962	307.000	200	1094	14.046	6.756	21.964	1.056	0.342	1.028	13.814	6.793	22.028	11	5	17	9	5	10
0.386	4.426	16	15	3815	238.438	37.283	218.500	200	320	164.688	55.750	18.812	0.440	0.194	0.376	164.682	55.764	18.829	164	55	17	3	3	5
